id,name,country_id:id,state_id:id,county_id:id
gt_zone_199,Zona 10,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_101
gt_zone_200,Zona 11,base.gt,base.state_gt_esc,l10n_gt_inteligos.county_gt_101
gt_zone_201,Zona 1,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_121
gt_zone_202,Zona 2,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_121
gt_zone_203,Zona 3,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_121
gt_zone_204,Zona 4,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_121
gt_zone_205,Zona 5,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_121
gt_zone_206,Zona 6,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_121
gt_zone_207,Zona 7,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_121
gt_zone_208,Zona 8,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_121
gt_zone_209,Zona 9,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_121
gt_zone_210,Zona 10,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_121
gt_zone_211,Zona 11,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_121
gt_zone_212,Zona 1,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_114
gt_zone_213,Zona 2,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_114
gt_zone_214,Zona 3,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_114
gt_zone_215,Zona 4,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_114
gt_zone_216,Zona 5,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_114
gt_zone_217,Zona 6,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_114
gt_zone_218,Zona 7,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_114
gt_zone_219,Zona 8,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_114
gt_zone_220,Zona 9,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_114
gt_zone_221,Zona 10,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_114
gt_zone_222,Zona 11,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_114
gt_zone_223,Zona 1,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_119
gt_zone_224,Zona 2,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_119
gt_zone_225,Zona 3,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_119
gt_zone_226,Zona 4,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_119
